epoch,loss,val_loss,classification_output_loss,val_classification_output_loss,classification_output_accuracy,val_classification_output_accuracy
0,3.0489760728901185,2.8786732100577903,2.4874872161107984,2.976965850897838,0.15007583622800766,0.15757962803940806
1,3.1758036339666598,3.312973634724493,2.373224306777604,2.7529560604917203,0.2059992288217139,0.14346476098633168
2,3.200333548766771,3.3431782021502388,2.732340688450547,2.663630199879547,0.10581251347136365,0.01
3,3.0477446261907097,3.188690262292671,2.6908655881372927,2.716840503446144,0.10355858766524496,0.09871807393370403
4,2.8279516520533576,3.0710943577246113,2.6901002659569246,2.786701317216173,0.11632683845001798,0.045887538605914775
5,2.654368004260484,2.6465076807298455,2.885347354340959,2.96675346214272,0.06021883648962875,0.0630727135321924
6,2.6515900153475225,2.644496114242288,2.707998720213337,2.8379669772610403,0.14396083394199002,0.15115887563908953
7,2.9385592227826596,2.7727128876789817,2.417799750121766,2.4633396501334444,0.2618864498447187,0.09953835336417885
8,2.5468114061051135,2.8447206675426813,2.4157973891797835,2.674666506514072,0.22105566680093347,0.16464536761813336
9,2.612722258115925,2.4142314961721834,2.269985051333693,2.6643573232704707,0.15187203194699483,0.10436526927120926
10,2.7484648219584935,2.8432762506761287,2.3954179967982783,3.0641312220571293,0.09325344511836099,0.09609995115908312
11,2.6409650321550657,2.9801432950009654,2.5467400671113185,2.4940586597662504,0.18973373342670175,0.19922042009803684
12,2.4531476974701327,3.0440165688896537,2.3336923393320133,2.406360979715177,0.11836049506114765,0.12427851981420504
13,2.8275261223594836,2.570650593547169,2.1966838696627025,2.6609114279577204,0.1713871666443083,0.1120487195349662
14,2.5912320250627965,2.923835160701409,2.1189461715319067,2.9073272531560943,0.17502453917838942,0.13329794375929904
15,2.616915864368391,2.634917007219282,2.090467150880388,2.4375629155870957,0.24171971732113706,0.16137704528544938
16,2.58666437136578,2.8356038853788643,2.3746056048201285,2.5997786074700264,0.16042772083639725,0.14930455311605131
17,2.532476322705897,2.6818080100736283,2.442705582446314,2.461853398700448,0.27227034430043184,0.15683063196310648
18,2.475708060996304,2.747923136673915,2.3982528352653594,2.4404552170593994,0.16800418905327438,0.11684842422622871
19,2.6337323516536255,2.4005007416312933,2.0651365109631623,2.648801945105095,0.1378533992885291,0.09986200813283785
20,2.3892100306111734,2.408127299512164,2.436498119536019,2.222583858521986,0.24303600555804836,0.22146307112969593
21,2.366119880345371,2.3059734873700473,2.112526197399708,2.579348866393344,0.22237921087503915,0.23349817141879112
22,2.4917927408717073,2.6296220640008907,2.0078989073027307,2.538663728304449,0.21512415173303834,0.15893049399866518
23,2.2201053446835473,2.6614787582850523,2.3065755833055492,2.2918080756819443,0.25921262450985966,0.10140475979950318
24,2.2475448425296998,2.5450717972102184,2.0913862055699717,2.3725583061496955,0.2624425191799578,0.21615744052860658
25,2.3410269005008,2.601949727404072,2.205803272141229,2.412024705872015,0.2238470066481917,0.12675717827147887
26,2.3401305420837084,2.522577296609432,2.2127564899697463,2.149652898043004,0.2777997808716719,0.22761760699596142
27,2.141007325392141,2.584906770435443,2.281756398589518,2.6064200023928374,0.27429771300065287,0.261013843125803
28,2.246894712271435,2.440958019215938,2.062569663696792,2.3734676316631487,0.2602628000084273,0.26077594000884863
29,2.349803418308329,2.5124410691656713,2.1372947597302483,2.4945417490779396,0.2552128470094867,0.1959195574017893
30,2.388296750433562,2.6716389984558826,2.0186021012268625,2.4460096664198474,0.3252089360833954,0.21300790372709053
31,2.1091687606015226,2.542733892851066,1.82695490033048,2.263801596317048,0.3189713335717319,0.10360737607429724
32,2.1991870196883,2.2745263491559955,2.0476357637391778,2.6454367947316846,0.18786356505265567,0.1680900766386218
33,2.385432995700345,2.5180967789142112,2.0284617770506723,2.3229188564651233,0.30190966774486927,0.10232399928612618
34,2.3106675244299253,2.6898662000985403,1.9509299100241417,2.6607005486102437,0.245499627227937,0.1883645233271784
35,2.142595002794034,2.675427511060229,2.1193226976216817,2.6367872316178227,0.2360946901903786,0.20623275803323088
36,2.2126837054945248,2.52521196904055,2.006727432218457,2.305174921694285,0.22292219099308402,0.1558949823585051
37,2.082493915318688,2.302975735694363,1.8632947290786923,2.452305024000674,0.235886018430488,0.16977738660443187
38,2.0903348919006906,2.6593763708926335,2.1880100922010928,2.1450457076081215,0.2764923202682188,0.18373183233988924
39,2.107022609588007,2.6015384128149495,1.7342347779953038,2.3378705462881526,0.3198519821940886,0.1683363653214473
40,2.0020971114363526,2.723239280660767,2.159722375006461,2.4121608566465493,0.2199878387933765,0.058040405857811075
41,1.8836298314665623,2.448763104248187,1.9964962788290483,2.2170215125945165,0.24246021203218313,0.11453355514423812
42,2.3078754484890824,2.7153245927761374,1.9275555280761734,2.322514796595804,0.22690132791097223,0.13892598551895263
43,1.8587889322964517,2.4142253427127804,1.7006703497262006,2.61527174521581,0.3871185623941677,0.06939588272625662
44,2.101450723914527,2.758507064796178,1.7776382835441347,2.6101933937910795,0.33993325822233733,0.22248233460172018
45,2.03916636890933,2.9494766255463523,1.8904962197120516,2.7348101961311553,0.33018414171780475,0.07416944978118777
46,2.3769443200315905,2.528508144401403,1.8044245562389771,2.385777064725802,0.24921148897846324,0.17417206342738642
47,1.9351423267503318,2.9570922449728525,1.861399532576468,2.3931617905313667,0.3417463376357179,0.15993161904502629
48,2.0272257987055085,3.1226482149142196,1.7928443300528762,2.5170263120462635,0.31322428150874415,0.13374618896409243
49,1.8961371245999636,2.732883146219164,1.9873706087241385,2.3206816273059774,0.210777841472143,0.12131673354575018
